,ID,name,long,lat,location
129,C1F9J0,清水林 (Cingshueilin) (撤銷站),120.8203,24.0715,臺中市太平區136縣道9.5k處旁約500公尺
130,C1F9F0,伯公龍 (Bogonglong) (撤銷站),120.8492,24.2724,臺中市東勢區勢林街(宏覺寺旁)
131,C1F9E0,龍安 (Long-an) (撤銷站),120.8320,24.1601,臺中市新社區中和里內(距龍安橋約1.2k處)
132,C1F9D0,白毛台 (Baimaotai) (撤銷站),120.8870,24.1582,臺中市新社區福興里福民路13號旁
133,C1F9C0,白冷 (Baileng) (撤銷站),120.9298,24.1826,臺中市和平區天輪里天輪巷42號(臺中市和平區白冷國民小學校園內)
134,C1F970,大坑 (Dakeng) (撤銷站),120.7362,24.1715,臺中市北屯區40605廓子里廓子巷11號(中台科技大學校園內)
135,C1F9A0,中竹林 (Jhongjhulin) (撤銷站),120.7514,24.1037,臺中市太平區長龍路中埔二號橋至站址直線距離約1.7km
136,C1F9B0,桐林 (Tonglin) (撤銷站),120.7353,24.0662,臺中市霧峰區桐林里民生路(桐林國小斜對面)
137,C1F920,石岡 (Shihgang) (撤銷站),120.7703,24.2796,臺中市石岡區石岡里豐勢路1238號(石岡壩管理中心內)
138,C1F930,大甲 (Dajia) (撤銷站),120.6420,24.3510,臺中市大甲區開元路71號(大甲高級工業職業學校內)
139,C1F940,雪嶺 (Xueling) (撤銷站),121.0267,24.2807,臺中市和平區雪嶺地區八仙山事業區60林班地小雪山莊後方水塔後山頂
140,C1F910,新伯公 (Xinbogong) (撤銷站),120.8409,24.2215,臺中市東勢區詒福段163地號(台電公司門前右前方)
141,C1F890,稍來 (Shaolai) (撤銷站),121.0012,24.2657,臺中市東勢區詒福段163地號(台電公司門前右前方)
142,C1F000,大肚 (Dadu) (撤銷站),120.5726,24.1529,臺中市和平區八仙山事業區49林班地船型山苗圃廢棄觀測坪附近
143,C1F850,東勢 (Dongshih) (撤銷站),120.8334,24.2462,臺中市東勢區東關路647號(東勢林區管理處雙崎工作站內)
144,C1F870,上谷關 (Shangguguan) (撤銷站),121.0189,24.2032,臺中市和平區(博愛國小谷關分校附近)
