name,long,lat,location
和中 (Hezhong),121.4956,24.1795,花蓮縣秀林鄉立霧溪事業區80林班地(天祥祥德寺)
大坑 (Dakeng),121.18823907808736,24.307330890952873,臺中市北屯區軍福十三路268號(東山消防分隊)
大坑 (Dakeng),121.18823907808736,24.307330890952873,花蓮縣壽豐鄉10鄰山嶺80之1號(中華電信公司賀田山機房)旁
水璉 (Shuilian),121.5819,23.8806,花蓮縣壽豐鄉10鄰山嶺80之1號(中華電信公司賀田山機房)旁
鳳林山 (Fenglinshan),121.54250000000002,23.7971,花蓮縣壽豐鄉水璉村
加路蘭山 (Jialulanshan),121.4201,23.7352,花蓮縣鳳林鎮
豐濱 (Fengbin),121.52740000000001,23.6829,花蓮縣豐濱鄉臨海段776-4號
靜浦 (Jingpu),121.5148,23.5838,花蓮縣豐濱鄉豐濱村
明里 (Mingli),121.24929999999999,23.1716,花蓮縣秀林鄉原林務局水源段的苗圃內
佳心 (Jiaxin),121.26230000000001,23.2087,花蓮縣富里鄉明里村明里社區後方山上
玉里 (Yuli),121.21309999999998,23.3456,花蓮縣卓溪鄉佳心(玉山國家公園內，距花蓮卓溪鄉南安遊客步行2.5時之日據時代派出所舊址)
舞鶴 (Wuhe),121.33960000000002,23.3215,花蓮縣玉里鎮樂合里新民41號(樂合國小)
富源 (Fuyuan),121.374,23.4681,花蓮縣瑞穗鄉舞鶴村加納納山三角點旁
東華 (Donghwa),121.3782,23.5876,花蓮縣光復鄉大豐村9鄰265號(富源國中對面之半山腰上)
吉安光華 (Guanghua Ji-an),121.54980000000002,23.8952,花蓮縣壽豐鄉大學路二段1號（國立東華大學）
鳳林 (Fenglin),121.59510000000002,23.9309,花蓮縣吉安鄉南濱路一段531號(水資源回收中心)
卓溪 (Zhuoxi),121.4534,23.7461,花蓮縣鳳林鎮信義路200號(鳳林地政事務所)
新城 (Xincheng),121.3033,23.3442,花蓮縣卓溪鄉卓溪村中正路65-5號(卓溪鄉立圖書館)
富世 (Fushi),121.6045,24.0394,花蓮縣新城鄉大漢村光復路570號(新城鄉公所)
萬榮 (Wanrong),121.62969999999999,24.1474,花蓮縣秀林鄉富世村127號(富世國小校園內)
瑞穗 (Ruisui),121.4201,23.7092,花蓮縣鳳林鎮長橋里長橋路2號(長橋國小)
和平林道 (Hepinglindao),121.39020000000001,23.5239,花蓮縣瑞穗鄉鶴岡村167號(鶴岡國小)
和平 (Heping),121.65629999999999,24.3439,花蓮縣秀林鄉臺電公司東部發電廠碧海機組廠區內(進入管制哨約7公里處)
瑞穗林道 (Ruisuilindao),121.77000000000001,24.3071,花蓮縣卓溪鄉瑞穗林道約7.5K瑞欣礦區下方空地
蕃薯寮 (Fanshuliao),121.30679999999998,23.4928,花蓮縣卓溪鄉瑞穗林道約7.5K瑞欣礦區下方空地
德武 (Dewu),121.5401,23.7383,花蓮縣壽豐鄉水璉村蕃薯寮附近山區道路旁(牛山段607地號內)
赤柯山 (Chikeshan),121.41070000000002,23.4742,花蓮縣玉里鎮德武里附近山區道路旁(德武段680地號內)
