,ID,name,long,lat
243,C0V800,六龜 (Liugui),120.6880,22.9059
244,C0V810,左營 (Zuoying),120.6335,22.9978
245,C0V820,小林 (Xiaolin),120.2849,22.6749
246,C0V440,鳳山 (Fengshan),120.6332,23.1484
247,C0V450,鳳森 (Fengsen),120.3561,22.6466
248,C0V490,新興 (Sinsing),120.3925,22.5450
249,C1V160,達卡努瓦 (Dakanuwa),120.2988,22.6274
250,C1V170,排雲 (Paiyun),120.7053,23.2798
251,C1V190,南天池 (Nantianchi),120.9541,23.4636
252,C1V200,梅山 (Meishan),120.9117,23.2740
253,C1V220,小關山 (Xiaoguanshan),120.8235,23.2684
254,C1V231,高中 (Gaozhong),120.8136,23.1542
255,C1V340,大津 (Dajin),120.7167,23.1349
256,C1V390,尖山 (Jianshan),120.6459,22.8883
257,C1V570,吉東 (JiaDong),120.3677,22.8131
258,C1V580,溪南(特生中心) (Xinan),120.5454,22.8542
259,C1V590,新發 (Xinfa),120.7884,23.0849
260,C1V600,藤枝 (Tengzhi),120.6460,23.0570
261,C1V780,多納林道 (Duonalindao),120.7570,23.0719
262,C1V830,國三S383K (Freeway No. 3 S383K),120.7379,22.8880
263,C1V300,御油山 (Yuyoushan),120.4264,22.7819
264,C1V320,吉東 (Jidong) (撤銷站),120.7153,23.0019
265,C1V330,旗山 (Cishan) (撤銷站),120.5571,22.8411
266,C1V400,竹子腳 (Jhuzihjiao) (撤銷站),120.4942,22.8776
267,C1V410,岡山 (Gangshan) (撤銷站),120.3433,22.8129
268,C1V420,鳳雄 (Fongsyong) (撤銷站),120.2976,22.7551
269,C1V430,左營 (Zuoying) (撤銷站),120.3525,22.7507
270,C1V440,鳳山 (Fongshan) (撤銷站),120.2952,22.6771
271,C1V450,鳳森 (Fongsen) (撤銷站),120.3561,22.6466
272,C1V451,鳳森 (Fongsen) (撤銷站),120.3844,22.5379
273,C1V460,楠溪 (Nanxi) (撤銷站),120.3925,22.5451
274,C1V530,阿蓮 (Alian) (撤銷站),120.8926,23.4364
275,C1V350,溪埔 (Sipu) (撤銷站),120.3276,22.8831
276,C1V360,木柵 (Mujha) (撤銷站),120.4467,22.7385
277,C1V380,路竹 (Lujhu) (撤銷站),120.4667,22.9754
278,C1V240,新發 (Sinfa) (撤銷站),120.2922,22.8790
279,C1V260,月眉 (Yuemei) (撤銷站),120.6600,23.0521
280,C1V270,溪南 (Sinan) (撤銷站),120.5397,22.9713
281,C1V290,新集 (Sinji) (撤銷站),120.8064,23.0759
282,C1V230,高中 (Gaozhong) (撤銷站),120.7939,23.0351
283,C1V210,復興 (Fuxing) (撤銷站),120.7167,23.1349
284,C1V180,大寮 (Daliao) (撤銷站),120.8058,23.2224
285,C1P9A0,三爺 (Sanye) (撤銷站),120.4319,22.6100
286,C0V500,旗津 (Cijin) (撤銷站),120.2799,22.8370
287,C0V430,左營 (Zuoying) (撤銷站),120.2859,22.5886
288,466940,基隆 (KEELUNG),121.7404,25.1333
289,466950,彭佳嶼 (PENGJIAYU),121.7404,25.1333
290,C0B010,七堵 (Qidu),122.0797,25.6279
291,C0B020,基隆嶼 (Keelung Islet),121.7171,25.0948
292,C0B040,大武崙 (DAWULUN),121.7171,25.0948
293,C0B050,八斗子 (BADOUZI),121.7069,25.1666
294,467050,新屋 (XINWU),121.0474,25.0067
295,C0C460,復興 (Fuxing),121.0474,25.0067
296,C0C480,桃園 (Taoyuan),121.3522,24.8202
297,C0C490,八德 (Bade),121.3231,24.9924
298,C0C650,平鎮 (Pingjhen),121.2832,24.9287
